Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,SA,sex
-76.499,167.49,118.48,8.5497,89.135,121.14,254.14,133,65.614,288.39,261.14,528.14,267,223.33,0,0
-77.022,180.04,118.93,7.1333,46.856,88.569,251.57,163,487.89,721.95,153.57,357.57,204,234.55,0,0
-76.977,143.11,112.58,6.4071,45.059,89.805,252.8,163,299.88,500.17,180.8,427.8,247,201.1,0,0
-74.511,198.77,118.62,6.8291,63.27,102.27,257.27,155,100.36,298.18,265.27,563.27,298,198.91,0,0
-74.815,145.98,114.67,8.2389,78.715,110.71,266.71,156,173.24,433.59,329.71,671.71,342,264.75,0,1
-72.976,122.43,107.31,6.392,49.306,95.772,295.77,200,225.88,435.22,189.77,439.77,250,209.99,0,0
-76.601,138.08,110.26,6.0035,54.87,104.87,264.87,160,206.48,422.18,232.87,534.17,301.3,217.47,0,0
-75.454,137.39,111.83,6.8771,53.228,93.228,266.23,173,187.15,409.59,245.23,532.23,287,223.85,0,1
-75.357,165.72,113.94,6.2041,37.67,78.67,257.68,179.01,185.18,403.47,253.68,560.68,307,220.2,0,1
-75.964,147.71,114.79,7.8843,47.812,81.812,254.81,173,79.188,274.57,314.81,617.81,303,196.5,0,1
-75.834,130.93,111.16,7.3521,59.827,96.827,256.83,160,145.27,355.11,256.83,554.83,298,211.2,0,0
-75.658,124.77,111.06,8.1982,83.718,120.72,282.72,162,202.59,435.96,259.72,566.72,307,235.6,0,1
-78.322,238.28,126.08,7.1622,78.467,117.47,247.47,130,200.06,442.86,287.47,614.47,327,246.2,0,1
-75.654,208.64,119.91,6.5556,47.475,78.866,249.87,171,419.22,669.71,194.87,461.87,267,252.53,0,1
-75.998,140.58,114.9,9.4377,83.965,111.96,247.96,136,96.535,346.94,332.96,659.96,327,252.42,0,0
-75.617,166.65,115.94,6.6553,42.71,74.333,254.33,180,440.5,678.62,173.33,397.33,224,238.89,0,1
-74.763,136.93,112.82,7.9201,60.933,93.933,252.93,159,48.411,272.01,351.93,677.93,326,224.73,0,1
-73.953,151.2,111.54,6.344,34.181,80.181,267.92,187.74,86.634,304.84,345.92,684.92,339,220.57,0,0
-77.469,204.26,121.95,7.1807,67.582,105.58,245.58,140,135.08,330.5,242.58,523.58,281,196.35,0,0
-75.672,133.45,113.56,9.2573,95.361,130.36,280.36,150,179.87,384.2,248.36,544.36,296,205.94,0,0
-75.044,224.47,121.94,6.6121,46.394,93.394,262.75,169.36,89.396,335.95,306.02,610.02,304,247.81,0,0
