RMP,dV/dtmax,APA,APD20,APD40,APD50,APD90,APDtri,CTA,CTmax,CTD50,CTD90,CTDtri,CTD,Gender,class
-78.806,250.24,105.81,21.881,44.822,78.822,218.82,140,96.875,250.22,320.82,684.82,364,154.41,0,1
-78.851,244.29,105.56,25.449,46.784,78.784,214.21,135.42,94.069,246.5,306.21,665.21,359,153.31,0,1
-79.129,255.45,106.4,25.514,47.905,79.905,207.9,128,89.579,239.99,307.9,668.9,361,151.26,0,1
-78.706,251.18,105.9,28.48,51.296,81.296,211.3,130,85.961,246.2,353.3,731.3,378,161.53,0,1
-78.025,295.79,107.86,17.265,44.297,78.297,225.4,147.1,94.379,250.76,317.4,680.4,363,157.41,0,1
-78.428,230.45,103.9,24.774,48.999,83.999,224,140,88.159,229.59,324,691,367,142.38,0,1
-77.919,256.78,106.16,23.222,47.568,80.568,225.57,145,90.941,246.93,317.57,677.57,360,156.93,0,1
-78.41,250.9,106.24,23.342,45.176,78.176,217.18,139,114.21,264.8,309.18,676.18,367,151.72,0,1
-77.84,255.8,106.09,26.581,47.415,80.415,237.43,157.02,122.15,278.15,303.43,668.43,365,157.17,0,1
-77.639,227.48,104.12,24.086,46.973,81.973,230.97,149,111.84,267.5,320.97,690.97,370,156.8,0,1
-79.185,269.86,106.93,24.559,49.638,84.638,213.64,129,99.659,250.8,331.64,708.64,377,152.34,0,1
-78.325,247.92,104.13,28.158,48.702,82.702,233.7,151,127.79,281.75,298.7,667.7,369,155.2,0,1
-78.725,238,105.14,27.485,47.235,78.235,214.23,136,113.94,274.17,331.23,710.23,379,161.73,0,1
-78.78,271.79,107.51,18.172,44.934,81.934,219.93,138,85.137,227.57,332.93,696.93,364,143.46,0,1
-77.96,269.22,107.61,21.659,46.966,80.966,229.97,149,106.75,265.36,303.97,660.97,357,159.55,0,1
-77.426,222.44,102.33,25.218,47.224,79.224,235.22,156,99.196,250.97,331.22,705.22,374,152.92,0,1
-78.441,286.72,108.57,24.687,48.148,83.148,226.78,143.63,115.34,274.9,311.78,675.78,364,160.59,0,1
-78.257,247.87,106.36,27.494,49.457,84.457,228.46,144,106.11,257.09,317.46,684.46,367,152.18,0,1
-77.727,230.54,103.72,25.842,48.143,80.143,223.14,143,82.048,241.21,352.14,725.14,373,160.25,0,1
-78.146,249.33,105.84,21.985,45.665,79.665,228.47,148.81,101.06,256.01,327.47,697.47,370,156.05,0,1
-77.888,242.66,104.65,26.644,47.839,79.839,218.84,139,113.5,268.61,319.84,694.84,375,156.32,0,1
-78.766,239.43,104.19,23.998,45.341,80.341,225.34,145,128.85,278.44,307.34,679.34,372,150.99,0,1
-78.271,243.54,105.03,30.369,52.369,86.369,230.37,144,103.13,257.45,334.37,709.37,375,155.51,0,1
-79.023,285.38,108.41,24.684,48.779,83.779,219.87,136.09,111.6,265.86,318.87,689.87,371,155.43,0,1
-78.654,245.74,104.98,21.462,45.299,78.299,216.3,138,101.08,251.25,338.3,714.3,376,151.66,0,1
-78.446,237.82,103.66,26.224,50.594,83.594,223.59,140,92.566,244.63,341.59,719.59,378,153.38,0,1
-78.199,266.15,106.13,24.149,47.564,81.564,229.56,148,107.08,258.97,321.56,692.56,371,153,0,1
-78.462,273.57,107.06,19.12,44.404,78.404,219.4,141,97.101,246.82,322.4,691.4,369,150.74,0,1
-78.889,244.64,104.23,22.03,44.845,79.845,218.84,139,107.13,251.3,300.84,665.84,365,145.16,0,1
-78.021,225.19,103.23,26.476,48.647,82.647,231.65,149,98.351,244.14,309.65,674.65,365,146.75,0,1
-77.176,234.24,103.15,25.662,48.234,81.234,235.23,154,90.019,240.01,355.23,734.23,379,151.22,0,1
-78.102,240.83,105.14,22.675,45.995,81.995,233.99,152,95.255,246.18,311.99,669.99,358,151.82,0,1
-78.083,258.69,105.95,18.392,43.709,80.709,234.71,154,110.39,260.37,303.71,665.71,362,150.96,0,1
-77.983,231.14,104.03,30.58,50.58,83.58,237.63,154.05,120.47,271.03,312.63,683.63,371,151.94,0,1
-77.705,224.83,103.04,24.253,45.914,78.914,233.91,155,86.287,233.63,321.91,683.91,362,148.24,0,1
