Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,Gender,class
-77.352,130.11,110.76,6.7219,59.557,96.557,243.35,146.8,329.45,569.71,244.48,576.04,331.56,244.82,0,1
-78.346,180.01,119.74,7.6907,73.251,106.25,237.25,131,246.88,467.61,200.25,457.25,257,221.71,0,1
-75.679,159.65,116.46,7.728,65.531,99.531,260.53,161,335.34,574.16,206.53,476.53,270,240.56,0,1
-74.665,141.3,114.12,8.6019,68.824,100.82,258.82,158,197.39,419.32,220.82,475.82,255,222.72,0,1
-77.705,183.82,120.06,7.4113,84.386,119.39,256.39,137,273.41,513.64,238.39,542.39,304,242.93,0,1
-76.694,164.71,115.91,6.7278,67.375,105.37,254.37,149,144.12,359.95,220.37,477.37,257,216.48,0,1
-76.688,159.49,115.81,7.2954,76.423,111.42,257.42,146,143.21,365.09,300.42,633.42,333,224.6,0,1
-76.686,155.4,114.21,6.4475,57.43,90.43,241.43,151,118.56,374.37,263.76,545.76,282,256.78,0,1
-76.999,156.23,114.02,6.2903,65.443,107.44,260.44,153,195.5,421.19,250.44,559.44,309,227.78,0,1
-75.118,125.97,111.52,8.6308,63.89,95.89,258.89,163,267,461.24,201.89,474.89,273,195.55,0,1
-75.734,136.35,112.49,7.7425,70.04,104.04,265.04,161,108.74,320.56,320.04,654.04,334,214.23,0,1
-77.195,172.07,119.35,8.5526,67.379,101.38,243.38,142,316.45,535.65,202.38,466.38,264,220.62,0,1
-75.008,181.1,116.93,6.6111,67.977,103.98,255.98,152,151.1,382.22,307.98,646.98,339,234.3,0,1
-76.27,179.74,117.87,6.8567,60.587,100.59,266.59,166,351.82,594.75,213.59,499.59,286,245.33,0,1
-74.949,132.72,111.22,7.1944,58.538,88.538,250.54,162,281.2,515.51,214.54,499.54,285,236.09,0,1
-76.365,155.46,116.43,8.3643,74.364,113.36,265.36,152,146.64,346.06,267.36,570.36,303,200.98,0,1
-75.271,201.3,118.83,6.5933,57.793,93.793,239.79,146,292.26,553.34,285.79,634.79,349,267.32,0,1
-76.414,189.2,120.11,7.1885,57.436,99.436,251.44,152,155.65,368.5,268.44,566.44,298,214.38,0,1
-75.591,177.96,116.6,6.5586,57.137,92.137,247.14,155,120.52,349.03,298.14,624.14,326,230.6,0,1
-75.913,144.2,113.92,7.6207,59.328,97.29,261.29,164,338.26,563.78,236.29,551.29,315,229.29,0,1
-75.866,176.81,117.8,6.9798,56.963,92.963,247.96,155,294.29,534.19,234.96,531.96,297,242.47,0,1
-78.399,143.81,113.75,6.8248,88.039,124.04,242.04,118,136,360.31,251.04,541.28,290.24,225.53,0,1
